"","X","state","date","cases","deaths","weekday","new_cases","new_deaths","mask_mandate","mandate_start","mandate_end","population","us_population","prop_cases","prop_deaths","deaths_per_cases","weeks","cases_proyected","deaths_proyected","new_cases_proyected","new_deaths_proyected"
"1",338,"New Jersey",2020-04-14,68824,2805,"Tuesday",24408,1573,"yes","2020-04-08","2021-05-28",8908520,327167434,7.72563792863461,0.314867115974371,4.07561315820063,6,68459.6724611834,2646.43012178918,26290.5680680863,1988.71087040881
"2",354,"Utah",2020-04-14,2420,19,"Tuesday",683,6,"yes","2020-04-10","2020-05-01",3161105,327167434,0.765555082795415,0.00601055643517061,0.785123966942149,8,2430.73669779859,20.9618701455762,902.995340265062,9.78153025807728
"3",383,"Maryland",2020-04-21,14261,652,"Tuesday",4789,350,"yes","2020-04-18","2021-05-15",6042718,327167434,2.36003070141615,0.107898465558049,4.57190940326765,7,13943.5105888882,514.628394684344,6854.98845125844,264.643506252174
"4",393,"New Jersey",2020-04-21,92387,4753,"Tuesday",23563,1948,"yes","2020-04-08","2021-05-28",8908520,327167434,10.3706339549106,0.533534189741955,5.14466321019191,7,85672.2440317131,4232.47054563205,17212.5715705297,1586.04042384287
"5",409,"Utah",2020-04-21,3301,32,"Tuesday",881,13,"yes","2020-04-10","2020-05-01",3161105,327167434,1.04425509434201,0.0101230424171295,0.969403211148137,9,2856.42706717638,22.9698799434256,425.69036937779,2.00800979784934
"6",418,"Alaska",2020-04-28,349,7,"Tuesday",22,0,"yes","2020-04-24","2020-05-22",737438,327167434,0.473260124918976,0.00949232342244365,2.00573065902579,7,351.502494349,7,23.7557203491657,-2.26012958872607
"7",427,"Georgia",2020-04-28,23607,1022,"Tuesday",4418,212,"yes","2020-04-24","2021-05-01",10519475,327167434,2.24412339969438,0.0971531373951647,4.32922438259838,9,22535.5479160916,1013.8699629345,5384.98868607665,383.716695225292
"8",438,"Maryland",2020-04-28,20200,1016,"Tuesday",5939,364,"yes","2020-04-18","2021-05-15",6042718,327167434,3.34286657097022,0.168136259213155,5.02970297029703,8,17498.6330956903,958.005322884741,3555.12250680207,443.376928200397
"9",440,"Michigan",2020-04-28,39469,3566,"Tuesday",6533,868,"yes","2020-04-27","2020-10-02",9995915,327167434,3.94851296754724,0.356745730630963,9.03493881273911,8,36481.6587671876,3333.83915732024,4446.42365254037,778.629914275817
"10",448,"New Jersey",2020-04-28,113856,6442,"Tuesday",21469,1689,"yes","2020-04-08","2021-05-28",8908520,327167434,12.7805741020955,0.723127971874116,5.65802417088252,8,107040.059634545,6187.07369015558,21367.8156028319,1954.60314452353
"11",464,"Utah",2020-04-28,4343,45,"Tuesday",1042,13,"yes","2020-04-10","2020-05-01",3161105,327167434,1.37388666304979,0.0142355283990883,1.03615012664057,10,3855.32152891588,41.5286838094752,998.894461739502,18.5588038660496
"12",473,"Alaska",2020-05-05,369,7,"Tuesday",20,0,"yes","2020-04-24","2020-05-22",737438,327167434,0.500381048983101,0.00949232342244365,1.8970189701897,8,360.548974053639,7,9.04647970463861,0
"13",479,"Delaware",2020-05-05,5371,187,"Tuesday",796,50,"yes","2020-04-28","2021-05-21",967171,327167434,5.55330960088754,0.193347401855515,3.48166077080618,8,5715.82256187625,177.081798654278,2100.09594509648,63.8452690893578
"14",482,"Georgia",2020-05-05,28876,1277,"Tuesday",5269,255,"yes","2020-04-24","2021-05-01",10519475,327167434,2.74500390941563,0.121393890854819,4.42235766726693,10,26183.9418987831,1147.97871103416,3648.39398269157,134.108748099657
"15",486,"Illinois",2020-05-05,65889,2843,"Tuesday",17787,711,"yes","2020-05-01","2021-06-11",12741080,327167434,5.17138264574118,0.223136500202495,4.31483252136168,15,58022.9552537149,2559.74505999003,18599.8244559589,640.170422989436
"16",492,"Maine",2020-05-05,1226,61,"Tuesday",186,10,"yes","2020-05-01","2021-05-24",1338404,327167434,0.916016389670085,0.0455766719167008,4.97553017944535,8,1125.49488614509,60.7021416426142,148.771877041552,12.4030733286188
"17",493,"Maryland",2020-05-05,27217,1390,"Tuesday",7017,374,"yes","2020-04-18","2021-05-15",6042718,327167434,4.5040989832721,0.230028937309337,5.10710217878532,9,24040.9743024396,1268.284731245,6542.34120674926,310.279408360259
"18",495,"Michigan",2020-05-05,44391,4179,"Tuesday",4922,613,"yes","2020-04-27","2020-10-02",9995915,327167434,4.44091411341533,0.418070781914412,9.41407041967967,9,43206.4672216298,4099.69016059732,6724.80845444228,765.851003277076
"19",503,"New Jersey",2020-05-05,130593,8244,"Tuesday",16737,1802,"yes","2020-04-08","2021-05-28",8908520,327167434,14.6593373534549,0.925406240318257,6.31274264317383,9,126394.579869067,7499.75668148683,19354.5202345219,1312.68299133126
"20",528,"Alaska",2020-05-12,383,8,"Tuesday",14,1,"yes","2020-04-24","2020-05-22",737438,327167434,0.519365695827988,0.0108483696256499,2.088772845953,9,379.425780141655,7,18.8768060880157,0
"21",529,"Arizona",2020-05-12,11736,562,"Tuesday",2431,167,"yes","2020-05-08","2021-03-25",7171646,327167434,1.63644440899621,0.0783641579631789,4.78868438991138,16,10768.2383851559,455.530456317683,2775.99491400515,104.823102691723
"22",534,"Delaware",2020-05-12,6741,237,"Tuesday",1370,50,"yes","2020-04-28","2021-05-21",967171,327167434,6.9698119567274,0.245044568127043,3.51579884290165,9,5819.52019149646,218.475190259956,103.697629620204,41.3933916056786
"23",536,"Florida",2020-05-12,41915,1778,"Tuesday",4484,308,"yes","2020-05-11","2021-05-04",21299325,327167434,1.96790273870181,0.0834768237960593,4.24191816772039,11,39963.065555884,1647.71870265435,4312.47752234254,287.778393544494
"24",537,"Georgia",2020-05-12,33311,1470,"Tuesday",4435,193,"yes","2020-04-24","2021-05-01",10519475,327167434,3.16660289605707,0.139740814061538,4.41295668097625,11,31936.3404771266,1427.44997718929,5752.39857834343,279.471266155124
"25",541,"Illinois",2020-05-12,83168,3617,"Tuesday",17279,774,"yes","2020-05-01","2021-06-11",12741080,327167434,6.52754711531519,0.283884882600219,4.34902847248942,16,77114.8125861838,3283.00609762675,19091.8573324689,723.261037636723
"26",547,"Maine",2020-05-12,1477,65,"Tuesday",251,4,"yes","2020-05-01","2021-05-24",1338404,327167434,1.10355318722897,0.0485653061407467,4.4008124576845,9,1331.12559946027,66.7128761419957,205.630713315184,6.01073449938144
"27",548,"Maryland",2020-05-12,34174,1756,"Tuesday",6957,366,"yes","2020-04-18","2021-05-15",6042718,327167434,5.65540208892753,0.290597707852658,5.13840931702464,10,31592.5509982947,1625.83079913058,7551.57669585512,357.546067885578
"28",549,"Massachusetts",2020-05-12,79332,5141,"Tuesday",9061,929,"yes","2020-05-06","2021-05-29",6902149,327167434,11.4938115650647,0.744840483739195,6.48036101447083,15,77147.6096243923,4868.22405972839,7791.96026403554,870.183835012064
"29",550,"Michigan",2020-05-12,47946,4674,"Tuesday",3555,495,"yes","2020-04-27","2020-10-02",9995915,327167434,4.79655939451266,0.467591010927964,9.74846702540358,10,47077.6018088382,4523.95094754875,3871.13458720835,424.260786951438
"30",558,"New Jersey",2020-05-12,140743,9508,"Tuesday",10150,1264,"yes","2020-04-08","2021-05-28",8908520,327167434,15.798696079708,1.06729288366642,6.75557576575744,10,139862.69326087,9326.02583959972,13468.1133918028,1826.26915811289
