"","date","state","cases","deaths","weekday","new_cases","new_deaths","mask_mandate"
"1",2020-03-17,"Alabama",39,0,"Tuesday",0,0,"no"
"2",2020-03-24,"Alabama",242,0,"Tuesday",203,0,"no"
"3",2020-03-31,"Alabama",999,14,"Tuesday",757,14,"no"
"4",2020-04-07,"Alabama",2197,64,"Tuesday",1198,50,"no"
"5",2020-04-14,"Alabama",3953,114,"Tuesday",1756,50,"no"
"6",2020-04-21,"Alabama",5327,186,"Tuesday",1374,72,"no"
"7",2020-04-28,"Alabama",6750,242,"Tuesday",1423,56,"no"
"8",2020-05-05,"Alabama",8437,315,"Tuesday",1687,73,"no"
"9",2020-05-12,"Alabama",10464,435,"Tuesday",2027,120,"no"
"10",2020-05-19,"Alabama",12376,504,"Tuesday",1912,69,"no"
"11",2020-05-26,"Alabama",15650,580,"Tuesday",3274,76,"no"
"12",2020-06-02,"Alabama",18771,653,"Tuesday",3121,73,"no"
"13",2020-06-09,"Alabama",21422,729,"Tuesday",2651,76,"no"
"14",2020-06-16,"Alabama",26912,785,"Tuesday",5490,56,"no"
"15",2020-06-23,"Alabama",31097,864,"Tuesday",4185,79,"no"
"16",2020-06-30,"Alabama",38045,950,"Tuesday",6948,86,"no"
"17",2020-07-07,"Alabama",45785,1033,"Tuesday",7740,83,"no"
"18",2020-07-14,"Alabama",57255,1164,"Tuesday",11470,131,"no"
"19",2020-07-21,"Alabama",70358,1303,"Tuesday",13103,139,"no"
"20",2020-07-28,"Alabama",82366,1491,"Tuesday",12008,188,"no"
"21",2020-08-04,"Alabama",93702,1666,"Tuesday",11336,175,"no"
"22",2020-08-11,"Alabama",103851,1847,"Tuesday",10149,181,"no"
"23",2020-08-18,"Alabama",110361,1936,"Tuesday",6510,89,"no"
"24",2020-08-25,"Alabama",117242,2037,"Tuesday",6881,101,"no"
"25",2020-09-01,"Alabama",127616,2200,"Tuesday",10374,163,"no"
"26",2020-09-08,"Alabama",133606,2277,"Tuesday",5990,77,"no"
"27",2020-09-15,"Alabama",140160,2387,"Tuesday",6554,110,"no"
"28",2020-09-22,"Alabama",146584,2457,"Tuesday",6424,70,"no"
"29",2020-09-29,"Alabama",153554,2517,"Tuesday",6970,60,"no"
"30",2020-10-06,"Alabama",160477,2580,"Tuesday",6923,63,"no"
"31",2020-10-13,"Alabama",167193,2665,"Tuesday",6716,85,"no"
"32",2020-10-20,"Alabama",174528,2805,"Tuesday",7335,140,"no"
"33",2020-10-27,"Alabama",186437,2892,"Tuesday",11909,87,"no"
"34",2020-11-03,"Alabama",195929,2987,"Tuesday",9492,95,"no"
"35",2020-11-10,"Alabama",206567,3120,"Tuesday",10638,133,"no"
"36",2020-11-17,"Alabama",220848,3301,"Tuesday",14281,181,"no"
"37",2020-11-24,"Alabama",236865,3472,"Tuesday",16017,171,"no"
"38",2020-12-01,"Alabama",252900,3638,"Tuesday",16035,166,"no"
"39",2020-12-08,"Alabama",276665,3942,"Tuesday",23765,304,"no"
"40",2020-12-15,"Alabama",301533,4124,"Tuesday",24868,182,"no"
"41",2020-12-22,"Alabama",329811,4452,"Tuesday",28278,328,"no"
"42",2020-12-29,"Alabama",351804,4737,"Tuesday",21993,285,"no"
"43",2021-01-05,"Alabama",379593,4886,"Tuesday",27789,149,"no"
"44",2021-01-12,"Alabama",407848,5573,"Tuesday",28255,687,"no"
"45",2021-01-19,"Alabama",426543,6126,"Tuesday",18695,553,"no"
"46",2021-01-26,"Alabama",445909,6896,"Tuesday",19366,770,"no"
"47",2021-02-02,"Alabama",462938,7894,"Tuesday",17029,998,"no"
"48",2021-02-09,"Alabama",474666,8579,"Tuesday",11728,685,"no"
