"","X.1","X","state","cases","deaths","new_cases","new_deaths","mask_mandate","date","fine_enforced","charge_enforced","not_enforced","mandate_start","mandate_start_2","mandate_end","mandate_end_2"
"1",9,9,"Alabama",65234,1286,2143,21,"yes","2020-07-18",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"2",20,20,"Alabama",61088,1230,2021,19,"yes","2020-07-16",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"3",21,21,"Alabama",63091,1265,2003,35,"yes","2020-07-17",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"4",22,22,"Alabama",87723,1580,1961,15,"yes","2020-07-31",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"5",23,23,"Alabama",89349,1603,1626,23,"yes","2020-08-01",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"6",24,24,"Alabama",91444,1627,2095,24,"yes","2020-08-02",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"7",25,25,"Alabama",92661,1633,1217,6,"yes","2020-08-03",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"8",26,26,"Alabama",93702,1666,1041,33,"yes","2020-08-04",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"9",27,27,"Alabama",94654,1695,952,29,"yes","2020-08-05",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"10",28,28,"Alabama",96592,1714,1938,19,"yes","2020-08-06",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"11",29,29,"Alabama",98301,1735,1709,21,"yes","2020-08-07",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"12",30,30,"Alabama",100173,1755,1872,20,"yes","2020-08-08",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"13",31,31,"Alabama",101334,1768,1161,13,"yes","2020-08-09",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"14",32,32,"Alabama",103020,1797,1686,29,"yes","2020-08-10",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"15",33,33,"Alabama",103851,1847,831,50,"yes","2020-08-11",0,0,1,"2020-07-16",NA,"2021-04-09",NA
"16",47,47,"Alabama",6421,219,208,6,"no","2020-04-26",0,0,1,"2020-07-16",NA,"2021-04-09",NA
