"","X","state","date","cases","deaths","weekday","new_cases","new_deaths","mask_mandate","mandate_start","mandate_end","population","us_population","prop_cases","prop_deaths","deaths_per_cases","weeks","cases_proyected","deaths_proyected","new_cases_proyected","new_deaths_proyected"
"1",7,"California",2020-02-04,6,0,"Tuesday",4,0,"no","2020-06-18",NA,39557045,327167434,0.000151679681836699,0,0,2,0,0,0,0
"2",8,"Illinois",2020-02-04,2,0,"Tuesday",1,0,"no","2020-05-01","2021-06-11",12741080,327167434,0.000156972564335206,0,0,2,0,0,0,0
"3",12,"California",2020-02-11,7,0,"Tuesday",1,0,"no","2020-06-18",NA,39557045,327167434,0.000176959628809483,0,0,3,10.3923048454133,NA,10.3923048454133,NA
"4",26,"California",2020-02-25,11,0,"Tuesday",4,0,"no","2020-06-18",NA,39557045,327167434,0.000278079416700616,0,0,5,7,NA,-0.560864148142504,NA
"5",29,"Nebraska",2020-02-25,13,0,"Tuesday",3,0,"no",NA,NA,1929268,327167434,0.00673830696409208,0,0,2,0,0,0,0
"6",30,"Texas",2020-02-25,10,0,"Tuesday",8,0,"no","2020-07-03","2021-03-10",28701845,327167434,0.000348409657985401,0,0,2,0,0,0,0
"7",32,"Washington",2020-02-25,5,0,"Tuesday",4,0,"no","2020-06-26",NA,7535591,327167434,0.00066351796428442,0,0,6,1,NA,0,NA
"8",34,"Arizona",2020-03-03,2,0,"Tuesday",1,0,"no","2020-05-08","2021-03-25",7171646,327167434,0.000278876006986402,0,0,6,1,NA,0,NA
"9",35,"California",2020-03-03,45,0,"Tuesday",34,0,"no","2020-06-18",NA,39557045,327167434,0.00113759761377525,0,0,6,13.7892297516162,NA,6.78922975161619,NA
"10",38,"Illinois",2020-03-03,4,0,"Tuesday",2,0,"no","2020-05-01","2021-06-11",12741080,327167434,0.000313945128670411,0,0,6,2,NA,0,NA
"11",39,"Massachusetts",2020-03-03,2,0,"Tuesday",1,0,"no","2020-05-06","2021-05-29",6902149,327167434,0.000289764825418866,0,0,5,1,NA,0,NA
"12",46,"Texas",2020-03-03,11,0,"Tuesday",1,0,"no","2020-07-03","2021-03-10",28701845,327167434,0.000383250623783941,0,0,3,22.3606797749979,NA,22.3606797749979,NA
"13",48,"Washington",2020-03-03,32,10,"Tuesday",27,10,"no","2020-06-26",NA,7535591,327167434,0.00424651497142029,0.00132703592856884,31.25,7,11.1803398874989,NA,10.1803398874989,NA
"14",50,"Arizona",2020-03-10,6,0,"Tuesday",4,0,"no","2020-05-08","2021-03-25",7171646,327167434,0.000836628020959205,0,0,7,2.82842712474619,NA,1.82842712474619,NA
"15",51,"California",2020-03-10,179,3,"Tuesday",134,3,"no","2020-06-18",NA,39557045,327167434,0.0045251105081282,7.58398409183497e-05,1.67597765363128,7,91.0169814325377,NA,77.2277516809215,NA
"16",55,"Florida",2020-03-10,23,2,"Tuesday",20,2,"no","2020-05-11","2021-05-04",21299325,327167434,0.00107984642705813,9.3899689309403e-05,8.69565217391304,2,0,0,0,0
"17",56,"Georgia",2020-03-10,22,0,"Tuesday",20,0,"no","2020-04-24","2021-05-01",10519475,327167434,0.00209135912200942,0,0,2,0,0,0,0
"18",58,"Illinois",2020-03-10,19,0,"Tuesday",15,0,"no","2020-05-01","2021-06-11",12741080,327167434,0.00149123936118445,0,0,7,5.65685424949238,NA,3.65685424949238,NA
"19",65,"Massachusetts",2020-03-10,92,0,"Tuesday",90,0,"no","2020-05-06","2021-05-29",6902149,327167434,0.0133291819692678,0,0,6,2.82842712474619,NA,1.82842712474619,NA
"20",69,"Nebraska",2020-03-10,17,0,"Tuesday",4,0,"no",NA,NA,1929268,327167434,0.00881163218381272,0,0,4,13,NA,-1.82228052628879,NA
"21",71,"New Hampshire",2020-03-10,5,0,"Tuesday",3,0,"no","2020-11-20","2021-04-16",1356458,327167434,0.00368607063395992,0,0,2,0,0,0,0
"22",73,"New York",2020-03-10,173,0,"Tuesday",171,0,"no","2020-04-17",NA,19542209,327167434,0.00885263278066466,0,0,2,0,0,0,0
"23",74,"North Carolina",2020-03-10,7,0,"Tuesday",6,0,"no","2020-06-26","2021-05-14",10383620,327167434,0.000674138691516061,0,0,2,0,0,0,0
"24",77,"Oregon",2020-03-10,14,0,"Tuesday",12,0,"no","2020-07-01","2021-06-30",4190713,327167434,0.00334072030224928,0,0,2,0,0,0,0
"25",79,"Rhode Island",2020-03-10,5,0,"Tuesday",3,0,"no","2020-05-08","2021-07-06",1057315,327167434,0.00472895967616084,0,0,2,0,0,0,0
"26",83,"Texas",2020-03-10,31,0,"Tuesday",20,0,"no","2020-07-03","2021-03-10",28701845,327167434,0.00108006993975474,0,0,4,11.5368973298717,NA,-10.8237824451262,NA
"27",84,"Utah",2020-03-10,4,0,"Tuesday",3,0,"no","2020-04-10","2020-05-01",3161105,327167434,0.00126538030214118,0,0,3,1,NA,1,NA
"28",87,"Washington",2020-03-10,279,24,"Tuesday",247,14,"no","2020-06-26",NA,7535591,327167434,0.0370243024070707,0.00318488622856522,8.60215053763441,8,80.9543081003105,Inf,69.7739682128116,NA
"29",88,"Wisconsin",2020-03-10,3,0,"Tuesday",2,0,"no","2020-08-01","2021-03-31",5813568,327167434,0.0005160342151326,0,0,5,1,NA,0,NA
"30",91,"Arizona",2020-03-17,20,0,"Tuesday",14,0,"no","2020-05-08","2021-03-25",7171646,327167434,0.00278876006986402,0,0,8,10.3923048454133,NA,7.56387772066707,NA
"31",93,"California",2020-03-17,732,14,"Tuesday",553,11,"no","2020-06-18",NA,39557045,327167434,0.0185049211840773,0.000353919257618965,1.91256830601093,8,357.004170532751,Inf,265.987189100214,NA
"32",94,"Colorado",2020-03-17,183,3,"Tuesday",166,3,"no","2020-07-16","2021-05-15",5695564,327167434,0.0321302683983535,0.000526725711448418,1.63934426229508,2,0,0,0,0
"33",95,"Connecticut",2020-03-17,68,0,"Tuesday",66,0,"no","2020-04-20",NA,3572665,327167434,0.0190334106332388,0,0,2,0,0,0,0
"34",97,"District of Columbia",2020-03-17,31,0,"Tuesday",27,0,"no","2020-07-22",NA,702455,327167434,0.0441309407720068,0,0,2,0,0,0,0
"35",98,"Florida",2020-03-17,210,6,"Tuesday",187,4,"no","2020-05-11","2021-05-04",21299325,327167434,0.00985946737748731,0.000281699067928209,2.85714285714286,3,63.6841162823719,Inf,63.6841162823719,Inf
"36",99,"Georgia",2020-03-17,142,1,"Tuesday",120,1,"no","2020-04-24","2021-05-01",10519475,327167434,0.013498772514788,9.50617782731553e-05,0.704225352112676,3,72.9657453878188,NA,72.9657453878188,NA
"37",101,"Hawaii",2020-03-17,14,0,"Tuesday",12,0,"no","2020-11-16",NA,1420491,327167434,0.0098557470621074,0,0,2,0,0,0,0
"38",103,"Illinois",2020-03-17,159,1,"Tuesday",140,1,"no","2020-05-01","2021-06-11",12741080,327167434,0.0124793188646488,7.84862821676028e-05,0.628930817610063,8,41.4095399636364,NA,35.752685714144,NA
"39",104,"Indiana",2020-03-17,30,2,"Tuesday",24,2,"no","2020-07-27","2021-04-06",6691878,327167434,0.00448304646319015,0.000298869764212677,6.66666666666667,2,0,0,0,0
"40",105,"Iowa",2020-03-17,29,0,"Tuesday",16,0,"no","2020-11-17","2021-02-07",3156145,327167434,0.00918842448620073,0,0,2,0,0,0,0
"41",106,"Kansas",2020-03-17,17,1,"Tuesday",16,1,"no","2020-07-03","2021-04-01",2911505,327167434,0.00583890462149301,0.000343464977734883,5.88235294117647,2,0,0,0,0
"42",107,"Kentucky",2020-03-17,26,1,"Tuesday",19,1,"no","2020-07-10","2021-06-11",4468402,327167434,0.0058186349392915,0.000223793651511211,3.84615384615385,2,0,0,0,0
"43",108,"Louisiana",2020-03-17,196,5,"Tuesday",190,5,"no","2020-08-07","2021-04-28",4659978,327167434,0.0420602844047762,0.00107296643889735,2.55102040816327,2,0,0,0,0
"44",110,"Maryland",2020-03-17,57,0,"Tuesday",48,0,"no","2020-04-18","2021-05-15",6042718,327167434,0.00943284131412388,0,0,2,0,0,0,0
"45",111,"Massachusetts",2020-03-17,218,0,"Tuesday",126,0,"no","2020-05-06","2021-05-29",6902149,327167434,0.0315843659706564,0,0,7,623.974358447525,NA,621.145931322778,NA
"46",112,"Michigan",2020-03-17,65,0,"Tuesday",63,0,"no","2020-04-27","2020-10-02",9995915,327167434,0.00650265633511289,0,0,2,0,0,0,0
"47",113,"Minnesota",2020-03-17,60,0,"Tuesday",57,0,"no","2020-07-25","2021-05-14",5611179,327167434,0.0106929399329446,0,0,2,0,0,0,0
"48",115,"Missouri",2020-03-17,16,0,"Tuesday",15,0,"no",NA,NA,6126452,327167434,0.00261162578275321,0,0,2,0,0,0,0
"49",117,"Nebraska",2020-03-17,36,0,"Tuesday",19,0,"no",NA,NA,1929268,327167434,0.0186599269774858,0,0,5,19.4402437464934,NA,6.44024374649343,NA
"50",118,"Nevada",2020-03-17,55,1,"Tuesday",51,1,"no","2020-06-26",NA,3034392,327167434,0.018125542118487,0.000329555311245218,1.81818181818182,2,0,0,0,0
"51",119,"New Hampshire",2020-03-17,26,0,"Tuesday",21,0,"no","2020-11-20","2021-04-16",1356458,327167434,0.0191675672965916,0,0,3,7.90569415042095,NA,7.90569415042095,NA
"52",120,"New Jersey",2020-03-17,268,3,"Tuesday",253,2,"no","2020-04-08","2021-05-28",8908520,327167434,0.0300835604567313,0.00033675627376938,1.11940298507463,2,0,0,0,0
"53",122,"New York",2020-03-17,1375,18,"Tuesday",1202,18,"no","2020-04-17",NA,19542209,327167434,0.0703605206555717,0.000921083179491121,1.30909090909091,3,1608.99300806436,NA,1608.99300806436,NA
"54",123,"North Carolina",2020-03-17,42,0,"Tuesday",35,0,"no","2020-06-26","2021-05-14",10383620,327167434,0.00404483214909637,0,0,3,18.5202591774521,NA,18.5202591774521,NA
"55",125,"Ohio",2020-03-17,67,0,"Tuesday",64,0,"no","2020-07-23","2021-06-02",11689442,327167434,0.00573166794445791,0,0,2,0,0,0,0
"56",126,"Oklahoma",2020-03-17,18,0,"Tuesday",16,0,"no",NA,NA,3943079,327167434,0.004564960529576,0,0,2,0,0,0,0
