"","date","state","cases","deaths","new_cases","new_deaths","mask_mandate"
"1","2020-03-13","Alabama",6,0,0,0,"no"
"2","2020-03-14","Alabama",12,0,6,0,"no"
"3","2020-03-15","Alabama",23,0,11,0,"no"
"4","2020-03-16","Alabama",29,0,6,0,"no"
"5","2020-03-17","Alabama",39,0,10,0,"no"
"6","2020-03-18","Alabama",51,0,12,0,"no"
"7","2020-03-19","Alabama",78,0,27,0,"no"
"8","2020-03-20","Alabama",106,0,28,0,"no"
"9","2020-03-21","Alabama",131,0,25,0,"no"
"10","2020-03-22","Alabama",157,0,26,0,"no"
"11","2020-03-23","Alabama",196,0,39,0,"no"
"12","2020-03-24","Alabama",242,0,46,0,"no"
"13","2020-03-25","Alabama",386,1,144,1,"no"
"14","2020-03-26","Alabama",538,3,152,2,"no"
"15","2020-03-27","Alabama",639,4,101,1,"no"
"16","2020-03-28","Alabama",720,4,81,0,"no"
"17","2020-03-29","Alabama",830,5,110,1,"no"
"18","2020-03-30","Alabama",947,11,117,6,"no"
"19","2020-03-31","Alabama",999,14,52,3,"no"
"20","2020-04-01","Alabama",1108,28,109,14,"no"
"21","2020-04-02","Alabama",1270,32,162,4,"no"
"22","2020-04-03","Alabama",1535,38,265,6,"no"
"23","2020-04-04","Alabama",1632,44,97,6,"no"
"24","2020-04-05","Alabama",1840,45,208,1,"no"
"25","2020-04-06","Alabama",2005,53,165,8,"no"
"26","2020-04-07","Alabama",2197,64,192,11,"no"
"27","2020-04-08","Alabama",2498,67,301,3,"no"
"28","2020-04-09","Alabama",2838,78,340,11,"no"
"29","2020-04-10","Alabama",3008,80,170,2,"no"
"30","2020-04-11","Alabama",3262,93,254,13,"no"
"31","2020-04-12","Alabama",3583,93,321,0,"no"
"32","2020-04-13","Alabama",3805,104,222,11,"no"
"33","2020-04-14","Alabama",3953,114,148,10,"no"
"34","2020-04-15","Alabama",4241,123,288,9,"no"
"35","2020-04-16","Alabama",4404,137,163,14,"no"
"36","2020-04-17","Alabama",4572,151,168,14,"no"
"37","2020-04-18","Alabama",4723,147,151,-4,"no"
"38","2020-04-19","Alabama",4903,160,180,13,"no"
"39","2020-04-20","Alabama",5078,164,175,4,"no"
"40","2020-04-21","Alabama",5327,186,249,22,"no"
"41","2020-04-22","Alabama",5610,201,283,15,"no"
"42","2020-04-23","Alabama",5832,197,222,-4,"no"
"43","2020-04-24","Alabama",6026,209,194,12,"no"
"44","2020-04-25","Alabama",6213,213,187,4,"no"
