"","state","date","cases","deaths","weekday","new_cases","new_deaths","mask_mandate","mandate_start","mandate_end","population","us_population","prop_cases","prop_deaths","deaths_per_cases","weeks"
"1","Washington",2020-01-21,1,0,"Tuesday",0,0,"no",2020-06-26,NA,7535591,327167434,0.000132703592856884,0,0,1
"2","Arizona",2020-01-28,1,0,"Tuesday",0,0,"no",2020-05-08,2021-03-25,7171646,327167434,0.000139438003493201,0,0,1
"3","California",2020-01-28,2,0,"Tuesday",0,0,"no",2020-06-18,NA,39557045,327167434,5.05598939455665e-05,0,0,1
"4","Illinois",2020-01-28,1,0,"Tuesday",0,0,"no",2020-05-01,2021-06-11,12741080,327167434,7.84862821676028e-05,0,0,1
"5","Washington",2020-01-28,1,0,"Tuesday",0,0,"no",2020-06-26,NA,7535591,327167434,0.000132703592856884,0,0,2
"6","Arizona",2020-02-04,1,0,"Tuesday",0,0,"no",2020-05-08,2021-03-25,7171646,327167434,0.000139438003493201,0,0,2
"7","California",2020-02-04,6,0,"Tuesday",4,0,"no",2020-06-18,NA,39557045,327167434,0.000151679681836699,0,0,2
"8","Illinois",2020-02-04,2,0,"Tuesday",1,0,"no",2020-05-01,2021-06-11,12741080,327167434,0.000156972564335206,0,0,2
"9","Massachusetts",2020-02-04,1,0,"Tuesday",0,0,"no",2020-05-06,2021-05-29,6902149,327167434,0.000144882412709433,0,0,1
"10","Washington",2020-02-04,1,0,"Tuesday",0,0,"no",2020-06-26,NA,7535591,327167434,0.000132703592856884,0,0,3
"11","Arizona",2020-02-11,1,0,"Tuesday",0,0,"no",2020-05-08,2021-03-25,7171646,327167434,0.000139438003493201,0,0,3
"12","California",2020-02-11,7,0,"Tuesday",1,0,"no",2020-06-18,NA,39557045,327167434,0.000176959628809483,0,0,3
"13","Illinois",2020-02-11,2,0,"Tuesday",0,0,"no",2020-05-01,2021-06-11,12741080,327167434,0.000156972564335206,0,0,3
"14","Massachusetts",2020-02-11,1,0,"Tuesday",0,0,"no",2020-05-06,2021-05-29,6902149,327167434,0.000144882412709433,0,0,2
