"","state","date","cases","deaths","weekday","new_cases","new_deaths","mask_mandate","mandate_start","mandate_end","population","us_population"
"1","Alabama",2021-11-16,840495,15999,"Tuesday",3245,120,"no",2020-07-16,2021-04-09,4887871,327167434
"2","Alabama",2021-11-02,833009,15629,"Tuesday",11754,205,"no",2020-07-16,2021-04-09,4887871,327167434
"3","Alabama",2021-11-09,837250,15879,"Tuesday",4241,250,"no",2020-07-16,2021-04-09,4887871,327167434
"4","Alabama",2021-10-05,802977,14542,"Tuesday",10345,387,"no",2020-07-16,2021-04-09,4887871,327167434
"5","Alabama",2021-10-12,809485,14869,"Tuesday",6508,327,"no",2020-07-16,2021-04-09,4887871,327167434
"6","Alabama",2021-10-19,815324,15263,"Tuesday",5839,394,"no",2020-07-16,2021-04-09,4887871,327167434
"7","Alabama",2021-09-28,792632,14155,"Tuesday",17101,695,"no",2020-07-16,2021-04-09,4887871,327167434
"8","Alabama",2021-07-13,555215,11402,"Tuesday",3917,44,"no",2020-07-16,2021-04-09,4887871,327167434
"9","Alabama",2020-04-28,6750,242,"Tuesday",1423,56,"no",2020-07-16,2021-04-09,4887871,327167434
"10","Alabama",2020-08-25,117242,2037,"Tuesday",6881,101,"no",2020-07-16,2021-04-09,4887871,327167434
"11","Alabama",2021-10-26,821255,15424,"Tuesday",5931,161,"no",2020-07-16,2021-04-09,4887871,327167434
"12","Alabama",2020-09-08,133606,2277,"Tuesday",5990,77,"no",2020-07-16,2021-04-09,4887871,327167434
"13","Alabama",2020-09-15,140160,2387,"Tuesday",6554,110,"no",2020-07-16,2021-04-09,4887871,327167434
"14","Alabama",2020-12-15,301533,4124,"Tuesday",24868,182,"no",2020-07-16,2021-04-09,4887871,327167434
"15","Alabama",2020-09-01,127616,2200,"Tuesday",10374,163,"no",2020-07-16,2021-04-09,4887871,327167434
"16","Alabama",2021-03-09,500616,10186,"Tuesday",6195,195,"no",2020-07-16,2021-04-09,4887871,327167434
"17","Alabama",2020-06-23,31097,864,"Tuesday",4185,79,"no",2020-07-16,2021-04-09,4887871,327167434
"18","Alabama",2020-06-30,38045,950,"Tuesday",6948,86,"no",2020-07-16,2021-04-09,4887871,327167434
"19","Alabama",2020-07-07,45785,1033,"Tuesday",7740,83,"no",2020-07-16,2021-04-09,4887871,327167434
"20","Alabama",2020-07-14,57255,1164,"Tuesday",11470,131,"no",2020-07-16,2021-04-09,4887871,327167434
"21","Alabama",2020-07-21,70358,1303,"Tuesday",13103,139,"no",2020-07-16,2021-04-09,4887871,327167434
"22","Alabama",2020-07-28,82366,1491,"Tuesday",12008,188,"no",2020-07-16,2021-04-09,4887871,327167434
"23","Alabama",2020-05-05,8437,315,"Tuesday",1687,73,"no",2020-07-16,2021-04-09,4887871,327167434
"24","Alabama",2021-03-02,494421,9991,"Tuesday",5448,331,"no",2020-07-16,2021-04-09,4887871,327167434
"25","Alabama",2021-06-08,546540,11220,"Tuesday",2495,64,"no",2020-07-16,2021-04-09,4887871,327167434
"26","Alabama",2020-12-01,252900,3638,"Tuesday",16035,166,"no",2020-07-16,2021-04-09,4887871,327167434
"27","Alabama",2020-12-08,276665,3942,"Tuesday",23765,304,"no",2020-07-16,2021-04-09,4887871,327167434
"28","Alabama",2021-09-14,754242,12718,"Tuesday",26882,298,"no",2020-07-16,2021-04-09,4887871,327167434
"29","Alabama",2021-07-06,551298,11358,"Tuesday",847,20,"no",2020-07-16,2021-04-09,4887871,327167434
"30","Alabama",2020-09-22,146584,2457,"Tuesday",6424,70,"no",2020-07-16,2021-04-09,4887871,327167434
"31","Alabama",2020-09-29,153554,2517,"Tuesday",6970,60,"no",2020-07-16,2021-04-09,4887871,327167434
"32","Alabama",2020-10-06,160477,2580,"Tuesday",6923,63,"no",2020-07-16,2021-04-09,4887871,327167434
"33","Alabama",2020-10-13,167193,2665,"Tuesday",6716,85,"no",2020-07-16,2021-04-09,4887871,327167434
"34","Alabama",2020-10-20,174528,2805,"Tuesday",7335,140,"no",2020-07-16,2021-04-09,4887871,327167434
"35","Alabama",2020-10-27,186437,2892,"Tuesday",11909,87,"no",2020-07-16,2021-04-09,4887871,327167434
"36","Alabama",2020-08-04,93702,1666,"Tuesday",11336,175,"no",2020-07-16,2021-04-09,4887871,327167434
"37","Alabama",2020-05-12,10464,435,"Tuesday",2027,120,"no",2020-07-16,2021-04-09,4887871,327167434
"38","Alabama",2021-02-02,462938,7894,"Tuesday",17029,998,"no",2020-07-16,2021-04-09,4887871,327167434
"39","Alabama",2021-03-16,508717,10337,"Tuesday",8101,151,"no",2020-07-16,2021-04-09,4887871,327167434
"40","Alabama",2021-03-23,511789,10450,"Tuesday",3072,113,"no",2020-07-16,2021-04-09,4887871,327167434
"41","Alabama",2021-03-30,514980,10527,"Tuesday",3191,77,"no",2020-07-16,2021-04-09,4887871,327167434
"42","Alabama",2020-12-29,351804,4737,"Tuesday",21993,285,"no",2020-07-16,2021-04-09,4887871,327167434
"43","Alabama",2021-01-05,379593,4886,"Tuesday",27789,149,"no",2020-07-16,2021-04-09,4887871,327167434
"44","Alabama",2021-01-12,407848,5573,"Tuesday",28255,687,"no",2020-07-16,2021-04-09,4887871,327167434
"45","Alabama",2021-09-21,775531,13460,"Tuesday",21289,742,"no",2020-07-16,2021-04-09,4887871,327167434
"46","Alabama",2020-04-07,2197,64,"Tuesday",1198,50,"no",2020-07-16,2021-04-09,4887871,327167434
"47","Alabama",2020-04-14,3953,114,"Tuesday",1756,50,"no",2020-07-16,2021-04-09,4887871,327167434
"48","Alabama",2020-04-21,5327,186,"Tuesday",1374,72,"no",2020-07-16,2021-04-09,4887871,327167434
"49","Alabama",2021-08-03,592417,11542,"Tuesday",17680,50,"no",2020-07-16,2021-04-09,4887871,327167434
"50","Alabama",2021-08-24,665653,12000,"Tuesday",24267,168,"no",2020-07-16,2021-04-09,4887871,327167434
"51","Alabama",2020-05-19,12376,504,"Tuesday",1912,69,"no",2020-07-16,2021-04-09,4887871,327167434
"52","Alabama",2021-06-15,548163,11281,"Tuesday",1623,61,"no",2020-07-16,2021-04-09,4887871,327167434
"53","Alabama",2021-06-22,549013,11311,"Tuesday",850,30,"no",2020-07-16,2021-04-09,4887871,327167434
"54","Alabama",2021-06-29,550451,11338,"Tuesday",1438,27,"no",2020-07-16,2021-04-09,4887871,327167434
