State,State Abbreviation,State FIPS Code,Public face mask mandate start,Public face mask mandate start x2,Face mask mandate enforced by fines,Face mask mandate enforced by criminal charge/citation,No legal enforcement of face mask mandate,Business face mask mandate start,Face mask mandate end for fully vaccinated,Face mask mandate resumed for fully vaccinated,Face mask mandate in areas with substantial and high COVID-19 transmission rates,Face mask mandate in schools for 2021-22 school year,Face mask mandate end,Face mask mandate end x2,Public face mask mandate currently in place for everyone,Banned school face mask mandates,Banned other local face mask mandates,Judicial decision blocked state from enforcing bans on mask mandates in schools,,Notes
Alabama,AL,1,2020-07-16,,0,0,1,2020-05-11,2021-04-09,,,,2021-04-09,,0,,,,,"AL - 7/13 order mandated face mask use in public spaces in some counties but not statewide; statewide face mask mandate only applies to close contact personal service employees, restaurant employees, and gym employees"
Alaska,AK,2,2020-04-24,,1,1,0,2020-04-24,2021-05-22,,,,2020-05-22,,0,,,,,"AK - Businesses subject to fine and/or closure if non-compliant w/ face mask mandate; individuals can face fines and charges of reckless endangerment, a misdemeanor. Masks were required only by customers in retail and personal care services, but only up to 5/22/2020 when the state's stay at home order ended and the state entered phase 3 of its reopening plan.  "
Arizona,AZ,4,,,0,0,1,2020-05-08,2021-03-25,,,,2021-03-25,,0,2021-06-30,2021-03-25,,,AZ - Prohibits government officials from requiring businesses to enforce mask mandates; Face masks required only for close contact personal care; starting 3/30 local governments prevented from passing laws stricter than what was implemented at the state level (remained in place until 6/17 when a mask mandate was put into place)
Arkansas,AR,5,2020-07-20,,1,1,0,2020-05-11,2021-03-30,,,,2021-03-30,,0,2021-04-28,2021-04-28,2021-08-07,,"AR - Recommended but not required to wear face masks in public; 7/3 order allows cities to mandate face masks, but does not mandate face masks at state-wide level; face masks required for restaurant staff, gym/fitness center workers"
California,CA,6,2020-06-18,,0,0,1,2020-05-05,2021-06-15,,,2021-08-02,,,0,,,,,CA - Mandated face mask use by grocery store employees
Colorado,CO,8,2020-07-16,,0,1,0,2020-04-23,2021-05-15,,,,2021-05-15,,0,,,,,
Connecticut,CT,9,2020-04-20,,1,0,0,2020-04-03,2021-05-19,,,2021-08-07,,,0,,,,,CT - Mandated face mask use by all essential employees
Delaware,DE,10,2020-04-28,,1,1,0,2020-05-01,2021-05-21,,,2021-08-16,2021-05-21,,0,,,,,
District of Columbia,DC,11,2020-07-22,,1,0,0,2020-04-17,2021-05-17,2021-07-31,,2021-07-31,2021-11-22,,0,,,,,
Florida,FL,12,,,0,0,1,2020-05-11,2021-05-04,,,,2021-05-04,,0,2021-07-30,2021-07-01,2021-09-08,,FL - Mandated face mask use by personal care employees
